merchant_id,merchant_name,merchant_category,mcc,business_type,city,state,has_onboarding_date,onboarding_date,is_masked_account,settlement_account,merchant_status,declared_avg_ticket_size
MCH1055,Dhingra Kapoor,Retail,5311,Partnership / LLP,Blr,Karnataka,TRUE,30-12-24 03:08,FALSE,6794786904,ACTIVE,770.74
MCH1056,Mital Jhaveri,Retail & Groceries,5311,Partnership / LLP,Asr,Punjab,TRUE,10-09-23 00:09,FALSE,6820698589,ACTIVE,5938.05
MCH1058,Vyas Virkanddatta,Retail & Groceries,5311,Partnership / LLP,Poona,Maharashtra,TRUE,20-01-23 00:00,TRUE,XXXX0826,ACTIVE,1504.39
MCH1059,Prasad Ltd,Phone Service,4814,Partnership / LLP,Hyd,Telangana,TRUE,18-03-23 00:00,TRUE,XXXX9900,ACTIVE,4187.75
MCH1060,Subramaniam Rama And Contractor,Travel & Transport,4131,Individual,Hyderabad,Telangana,TRUE,02-05-24 09:00,FALSE,FXHY9362967598468,ACTIVE,0.48
MCH1063,Samra Sur And Venkataraman,Retail Other,5999,Private Limited,Chennai,Tamil Nadu,TRUE,13-06-23 00:00,FALSE,2476053551,ACTIVE,1297.7
MCH1064,Mishra Badami,Books & Stationery,5942,Proprietorship,Lucknow,Uttar Pradesh,TRUE,03-12-25 00:00,FALSE,,ACTIVE,2393.66
MCH1068,Mall Palan,Other,,Proprietorship,Jaipur,Rajasthan,TRUE,02-09-26 09:23,FALSE,PKRN8629349498422,ACTIVE,663.04
MCH1070,Pandya Plc,Misc Retail,5999,Private Limited,Chennai,Tamil Nadu,TRUE,03-09-24 00:00,FALSE,,ACTIVE,1259.2
MCH1071,Shankargroup,Hotel & Lodging,7011,Individual,Mumbai,Maharashtra,TRUE,23-06-24 13:38,FALSE,6765564160,ACTIVE,389.19
MCH1072,Kalla Khalsa,Food & Beverage,5812,Private Limited,Mumbai,Maharashtra,TRUE,10-11-25 00:00,FALSE,,INACTIVE,422.23
MCH1073,Dasgupta Rayanddara,Medical & Health,,Partnership / LLP,Lucknow,Uttar Pradesh,TRUE,22-09-24 00:00,TRUE,XXXX7293,SUSPENDED,1002.63
MCH1075,Pingle Mohan,Medical & Health,5912,Proprietorship,Ludhiana,Punjab,TRUE,24-02-25 00:00,TRUE,XXXX2118,ACTIVE,1639.19
MCH1077,Taneja Nagar,Retail & Groceries,5411,Individual,Asr,Punjab,TRUE,27-02-26 00:00,FALSE,QQWI6101172213624,ACTIVE,358.21
MCH1079,Sharaf And Sons,Electronics & Tech,,Proprietorship,Poona,Maharashtra,TRUE,20-10-23 00:00,FALSE,,ACTIVE,455.39
MCH1081,Mistry Group,Food & Beverage,5812,Private Limited,Mumbai,Maharashtra,TRUE,27-05-25 00:00,TRUE,XXXX5682,ACTIVE,2299.04
MCH1082,Oommen Inc,Hotel & Lodging,70110,Partnership / LLP,Amritsar,Punjab,FALSE,,FALSE,6717543820,ACTIVE,833.19
MCH1083,Chaudhry Bhat,Food & Beverage,5812,Proprietorship,Jalandhar,Punjab,TRUE,30-04-25 00:00,FALSE,DSMZ2555394666399,INACTIVE,730.39
MCH1084,Krishnamurthy Inc,Other,59990,Private Limited,Jalandhar,Punjab,TRUE,21-04-25 00:00,FALSE,7207827487,ACTIVE,4469.21
MCH1086,Agrawal Sule,Apparel & Fashion,,Individual,Ludhiana,Punjab,TRUE,13-11-23 00:00,FALSE,,ACTIVE,1355.59
MCH1087,Mitter Sawhney And Luthra,Hotel & Lodging,7011,Partnership / LLP,Chennai,Tamil Nadu,TRUE,19-04-25 00:00,FALSE,,SUSPENDED,2381.71
MCH1089,Randhawa Barad,Books & Stationery,5942,Individual,Jalandhar,Punjab,TRUE,06-12-25 00:00,FALSE,,ACTIVE,8714.78
MCH1093,Dubey Uppal And Bhatt,Food & Beverage,5812,Private Limited,Poona,Maharashtra,TRUE,26-04-25 00:00,FALSE,,INACTIVE,4005.67
MCH1095,Mander Group,Phone Service,4814,Partnership / LLP,Kolkata,West Bengal,TRUE,30-01-23 03:08,TRUE,XXXX5510,ACTIVE,1277.94
MCH1096,Subramanian Prasad,Apparel & Fashion,5699,Individual,Hyd,Telangana,TRUE,07-03-25 02:41,FALSE,,ACTIVE,8373.82
MCH1097,Narayan Datta And Chowdhury,Other,5999,Individual,Lucknow,Uttar Pradesh,TRUE,09-05-25 00:00,FALSE,,ACTIVE,343.8
MCH1098,Raval Yadav And Yogi,Hotel & Lodging,7011,Private Limited,Jaipur,Rajasthan,TRUE,12-01-23 00:00,TRUE,XXXX3614,ACTIVE,0.181
MCH1100,Swamy Inc,Retail,5311,Partnership / LLP,Ludhiana,Punjab,TRUE,17-08-24 00:00,FALSE,9084083237,ACTIVE,2008.22
MCH1101,Mangal Inc,Medical & Health,5912,Individual,Chennai,Tamil Nadu,TRUE,19-06-23 00:00,TRUE,XXXX7862,ACTIVE,2025.16
MCH1104,Chander Llc,Electronics & Tech,4814,Private Limited,New Delhi,Delhi,TRUE,09-05-24 00:00,FALSE,,ACTIVE,778.62
MCH1106,Agrawal Ganguly And Kalla,Retail & Groceries,5411,Private Limited,New Delhi,Delhi,TRUE,25-08-24 00:00,FALSE,ZKGK4764088745020,ACTIVE,1100.28
MCH1107,Sen Das,Electronics & Tech,,Private Limited,Chennai,Tamil Nadu,TRUE,16-09-24 00:00,FALSE,VDXT6754486241555,ACTIVE,1021.355
MCH1109,Solanki Ltd,Retail & Groceries,53110,Partnership / LLP,Mumbai,Maharashtra,TRUE,23-07-23 00:00,TRUE,XXXX9384,ACTIVE,1262.18
MCH1115,Nadkarni Llc,Transprt,4131,Partnership / LLP,Jalandhar,Punjab,FALSE,,FALSE,,ACTIVE,0.6943
MCH1118,Chokshiinc,Travel & Transport,4131,Partnership / LLP,Jalandhar,Punjab,TRUE,26-07-25 00:00,TRUE,XXXX1304,ACTIVE,590.75
MCH1122,Rana Choudhury And Garde,Medical & Health,5912,Partnership / LLP,Ludhiana,Punjab,TRUE,30-11-24 00:00,TRUE,XXXX6047,ACTIVE,4792.92
MCH1124,Hayre Chana And Bhasin,Apparel & Fashion,5699,Proprietorship,Jaipur,Rajasthan,TRUE,05-10-24 00:00,FALSE,,ACTIVE,843.01
MCH1126,Nayak Dhaliwal And Soman,Retail & Groceries,5411,Partnership / LLP,Jalandhar,Punjab,TRUE,12-02-26 00:00,FALSE,,ACTIVE,564.83
MCH1128,Natt Keer,Retail Other,5999,Proprietorship,Hyd,Telangana,TRUE,10-01-26 12:42,TRUE,XXXX1918,ACTIVE,1028.32
MCH1130,Bhargava Dara,Retail & Groceries,5311,Individual,Amritsar,Punjab,TRUE,14-06-25 00:00,FALSE,8689036086,ACTIVE,2188.62
MCH1132,Cheema Inc,Retail Other,5999,Proprietorship,Ludhiana,Punjab,TRUE,10-09-23 00:00,FALSE,3299217122,ACTIVE,1269.15
MCH1133,Shere Ltd,Medical & Health,5912,Partnership / LLP,Bengaluru,Karnataka,TRUE,06-10-25 00:00,FALSE,,ACTIVE,11501.53
MCH1134,Shenoy Gokhale And Soman,Retail & Groceries,5411,Individual,New Delhi,Delhi,TRUE,12-11-24 00:00,FALSE,KZYJ5215017385369,ACTIVE,284.86
MCH1136,Bahri Kanda And Seth,Books & Stationery,59420,Private Limited,Chennai,Tamil Nadu,TRUE,17-07-23 00:00,TRUE,XXXX4885,ACTIVE,896.84
MCH1138,Shan Buchandtank,Books & Stationery,5942,Proprietorship,Bangalore,Karnataka,TRUE,07-03-24 21:25,TRUE,XXXX0724,ACTIVE,1369.64
MCH1142,Master Soni And Kapadia,Phone Service,4814,Proprietorship,Chennai,Tamil Nadu,TRUE,06-10-24 12:07,FALSE,4563871051,ACTIVE,252.13
MCH1143,Arya Khanna,Transprt,4131,Proprietorship,Jalandhar,Punjab,TRUE,16-08-23 00:00,FALSE,9953530102,ACTIVE,486.39
MCH1144,Morar Rattan,Apparel & Fashion,5699,Proprietorship,Jaipur,Rajasthan,TRUE,20-01-25 00:00,FALSE,,ACTIVE,1182.28
MCH1147,Dayal Sabharwal,Phone Service,4814,Individual,Kolkata,West Bengal,TRUE,23-11-23 00:00,TRUE,XXXX2380,INACTIVE,939.97
MCH1148,Deep Manda,Travel & Transport,4131,Individual,Asr,Punjab,TRUE,15-06-25 00:35,FALSE,,ACTIVE,0.3461
MCH1152,Raman Choudhury,Retail & Groceries,5411,Partnership / LLP,Chennai,Tamil Nadu,TRUE,19-12-25 00:00,TRUE,XXXX0685,ACTIVE,0.233
MCH1153,Oommen Sastry And Varty,Retail & Groceries,5311,Private Limited,Asr,Punjab,TRUE,17-06-24 00:00,TRUE,XXXX3616,ACTIVE,873.51
MCH1154,Saran And Sons,Medical & Health,5912,Private Limited,Pune,Maharashtra,TRUE,26-12-23 00:00,FALSE,TCTB2753134775657,ACTIVE,871.24
MCH1155,Sha Llc,Travel & Transport,4131,Proprietorship,Amritsar,Punjab,TRUE,03-08-24 00:00,FALSE,,INACTIVE,1753.08
MCH1159,De Ltd,Books & Stationery,5942,Individual,Calcutta,West Bengal,TRUE,05-12-25 15:35,FALSE,,ACTIVE,1672.61
MCH1161,Kuruvilla Pall And Ravel,Retail & Groceries,5411,Private Limited,Jalandhar,Punjab,TRUE,29-12-23 00:00,FALSE,,ACTIVE,549.82
MCH1162,Anand Mistry And Khare,Miscellaneous,5999,Private Limited,New Delhi,Delhi,TRUE,02-12-25 00:00,TRUE,XXXX2346,ACTIVE,0.1311
MCH1163,Gour Comar And Palan,Electronics & Tech,4814,Partnership / LLP,Ludhiana,Punjab,TRUE,25-10-25 00:00,FALSE,BYWD2962302915002,INACTIVE,5449.73
MCH1164,Goda Plc,Travel & Transport,4131,Partnership / LLP,Ludhiana,Punjab,TRUE,27-10-25 00:00,FALSE,,ACTIVE,0.953
MCH1168,Dugal Thaker And Rana,Apparel & Fashion,5699,Partnership / LLP,Hyd,Telangana,TRUE,28-04-23 00:00,FALSE,ZVAL3726006910876,ACTIVE,900.21
MCH1169,Dey Gupta,Food & Beverage,5812,Individual,Blr,Karnataka,TRUE,17-03-23 00:00,FALSE,295503532,ACTIVE,1427.7
MCH1170,Wali Bala And Sanghvi,Retail & Groceries,5311,Proprietorship,Blr,Karnataka,TRUE,04-01-23 15:30,FALSE,,ACTIVE,1109.65
MCH1171,Sampath Shroff,Medical & Health,5912,Partnership / LLP,Dilli,Delhi,TRUE,19-01-26 05:21,FALSE,,ACTIVE,393.94
MCH1174,Mander Kari,Retail & Groceries,5411,Partnership / LLP,Jalandhar,Punjab,TRUE,05-01-23 00:00,FALSE,,ACTIVE,1013.97
MCH1177,Mistry Savant And Jha,Travel & Transport,4131,Proprietorship,Amritsar,Punjab,TRUE,29-08-25 18:32,FALSE,,ACTIVE,1663.99
MCH1179,Suresh Chand,Books & Stationery,5942,Partnership / LLP,Chennai,Tamil Nadu,TRUE,19-11-25 00:00,FALSE,,ACTIVE,975.635
MCH1180,Sangha And Sons,Retail & Groceries,5411,Individual,Hyderabad,Telangana,TRUE,03-11-23 00:00,FALSE,VUOK6265318074983,ACTIVE,993.08
MCH1183,Rajan Llc,Food & Beverage,5812,Private Limited,Bengaluru,Karnataka,TRUE,02-02-23 00:00,FALSE,,ACTIVE,1717.84
MCH1185,Buch Barad And Toor,Other,5999,Partnership / LLP,Jalandhar,Punjab,TRUE,16-06-24 00:00,FALSE,6769671490,ACTIVE,2955.34
MCH1188,M0Rar Ltd,Medical & Health,5912,Individual,Hyderabad,Telangana,TRUE,19-02-24 00:00,FALSE,3674511273,ACTIVE,1156.7
MCH1189,Rai Doctor And Dar,Apparel & Fashion,5699,Proprietorship,Mumbai,Maharashtra,TRUE,13-11-24 20:40,FALSE,8075572970,ACTIVE,0.1513
MCH1191,Raval Ltd,Phone Service,4814,Individual,Kolkata,West Bengal,TRUE,19-01-23 00:18,FALSE,,ACTIVE,1670.52
MCH1193,Padmanabhan Sekhon And Dhawan,Food & Beverage,5812,Partnership / LLP,Lucknow,Uttar Pradesh,TRUE,16-01-25 00:00,FALSE,,ACTIVE,1712.05
MCH1195,Cherian Rana,Travel & Transport,4131,Proprietorship,Jalandhar,Punjab,TRUE,09-09-25 00:00,FALSE,,ACTIVE,364.17
MCH1197,Gaba Wadhwa And Sahni,Retail & Groceries,5411,Private Limited,Mumbai,Maharashtra,TRUE,08-01-24 00:00,FALSE,8143796682,ACTIVE,488.96
MCH1199,Chad Grewal,Food & Beverage,5812,Proprietorship,Hyd,Telangana,TRUE,22-11-24 00:00,FALSE,8520358001,ACTIVE,187.18
MCH1200,Vora And Sons,Apparel & Fashion,,Private Limited,Pune,Maharashtra,TRUE,08-02-23 00:00,FALSE,MQRX2052089170910,ACTIVE,0.1072
MCH1202,Koshy Borde,Retail,5311,Partnership / LLP,Ludhiana,Punjab,TRUE,27-04-23 14:11,FALSE,QMOB6262370066772,ACTIVE,1998.99
MCH1204,Rana Group,Retail & Groceries,5311,Private Limited,Jaipur,Rajasthan,TRUE,24-05-25 15:30,FALSE,,ACTIVE,733.33
MCH1207,Pillai Oak And Barman,Food & Beverage,5812,Individual,New Delhi,Delhi,TRUE,11-04-24 00:00,FALSE,,ACTIVE,1280.08
MCH1210,Dua Buch And Kaul,Books & Stationery,,Private Limited,Bombay,Maharashtra,FALSE,,FALSE,9379400368,SUSPENDED,0.1903
MCH1211,Munshi Pai And Sibal,Retail,5311,Proprietorship,New Delhi,Delhi,TRUE,04-01-23 00:00,FALSE,NHYW6672789857023,ACTIVE,296.16
MCH1213,Ray Llc,Medical & Health,5912,Partnership / LLP,Pune,Maharashtra,TRUE,07-01-24 18:33,FALSE,1805958295,ACTIVE,0.1556
MCH1214,Patel Bhatti,Retail & Groceries,5311,Individual,Jalandhar,Punjab,TRUE,05-10-24 17:31,TRUE,XXXX0366,ACTIVE,1829.91
MCH1216,Mani Ltd,Misc Retail,5999,Proprietorship,Amritsar,Punjab,TRUE,05-04-25 19:50,FALSE,WWHE9096090604868,ACTIVE,0.228
MCH1219,Buta1A Ltd,Apparel & Fashion,5699,Proprietorship,Lucknow,Uttar Pradesh,TRUE,23-10-25 00:00,FALSE,1736220262,ACTIVE,1046.51
MCH1221,Nadig Ray,Books & Stationery,5942,Individual,New Delhi,Delhi,TRUE,22-12-24 00:00,FALSE,7362492315,ACTIVE,0.618
MCH1222,Dass Dugar,Retail & Groceries,5411,Proprietorship,Kolkata,West Bengal,TRUE,07-11-23 18:19,FALSE,,ACTIVE,1076.395
MCH1224,Setty Sami,Books & Stationery,5942,Individual,Kolkata,West Bengal,TRUE,09-02-23 05:59,FALSE,7626814027,ACTIVE,609.48
MCH1226,Apte Pingle And Pal,Hotel & Lodging,7011,Private Limited,Hyderabad,Telangana,TRUE,01-03-24 00:00,FALSE,,ACTIVE,0.229
MCH1227,Dyal Ltd,Other,5999,Individual,Ludhiana,Punjab,TRUE,21-09-25 00:00,FALSE,QLYV4506400926648,ACTIVE,602.09
MCH1229,Sen Dewan And Tripathi,Books & Stationery,5942,Private Limited,Asr,Punjab,TRUE,19-02-25 00:00,FALSE,JECT9983029325791,ACTIVE,2028.74
MCH1233,Upadhyay Lall And Kala,Books & Stationery,5942,Private Limited,Pune,Maharashtra,TRUE,19-07-24 00:00,FALSE,,ACTIVE,1465.98
MCH1234,Comar Kari,Transprt,4131,Proprietorship,Jalandhar,Punjab,FALSE,,FALSE,IUGP6821222732474,ACTIVE,1120.89
MCH1237,Agarwal Kibe,Medical & Health,7011,Partnership / LLP,Mumbai,Maharashtra,TRUE,30-03-23 00:00,FALSE,CKEI2680343648784,ACTIVE,750.84
MCH1243,Buch Atwal And Roy,Medical & Health,59120,Partnership / LLP,Ludhiana,Punjab,TRUE,06-12-25 08:43,FALSE,,ACTIVE,1323.94
MCH1245,Kumer Varghese And Dhawan,Medical & Health,,Partnership / LLP,Poona,Maharashtra,TRUE,23-08-23 00:00,FALSE,,ACTIVE,725.32
MCH1247,Nayak Lala And Pillai,Retail & Groceries,5411,Proprietorship,Bengaluru,Karnataka,TRUE,19-01-23 00:00,FALSE,9109437765,ACTIVE,677.02
MCH1249,Garg Saha And Rattan,Other,5999,Partnership / LLP,Jalandhar,Punjab,TRUE,21-08-23 00:00,FALSE,,ACTIVE,854.43
MCH1250,Bhardwaj Wable,Travel & Transport,4131,Private Limited,Pune,Maharashtra,TRUE,11-04-25 10:39,FALSE,,ACTIVE,0.515
MCH1254,Pant Muni,Travel & Transport,4131,Partnership / LLP,New Delhi,Delhi,TRUE,21-10-23 00:00,FALSE,,ACTIVE,781.27
MCH1255,La1A And S0Ns,Electronics & Tech,4814,Partnership / LLP,Kolkata,West Bengal,TRUE,19-07-23 00:00,FALSE,8344362943,ACTIVE,772.22
MCH1256,Vala Inc,Medical & Health,5912,Proprietorship,Kolkata,West Bengal,TRUE,17-01-25 00:00,FALSE,,SUSPENDED,1415.24
MCH1257,Varma Maharaj,Books & Stationery,5942,Proprietorship,Calcutta,West Bengal,TRUE,15-04-23 16:16,FALSE,VIAW9051693811302,ACTIVE,3059.27
MCH1259,Wagle Verma And Ramanathan,Medical & Health,,Private Limited,Jaipur,Rajasthan,TRUE,12-08-25 00:00,FALSE,,ACTIVE,548.2
MCH1260,Kothari Nadkarni,Apparel & Fashion,56990,Private Limited,Lucknow,Uttar Pradesh,TRUE,15-01-26 00:00,FALSE,6850024093,ACTIVE,2375.4
MCH1261,Cheema Savant And Bakshi,Retail,5311,Proprietorship,Ludhiana,Punjab,TRUE,03-06-24 00:00,FALSE,EXGQ1328686965867,INACTIVE,922.86
MCH1262,Lad And Sons,Medical & Health,7011,Individual,Jalandhar,Punjab,TRUE,17-11-25 01:26,TRUE,XXXX6412,ACTIVE,503.65
MCH1263,Memon Choudhary,Medical & Health,5912,Private Limited,Hyd,Telangana,TRUE,27-11-25 22:51,FALSE,,ACTIVE,1888.17
MCH1267,Master Tiwari,Electronics & Tech,4814,Private Limited,Lucknow,Uttar Pradesh,FALSE,,FALSE,,ACTIVE,1213.17
MCH1268,Vyas Ltd,Retail,5311,Individual,Amritsar,Punjab,TRUE,28-06-23 00:00,FALSE,,ACTIVE,922.86
MCH1269,Shukla Plc,Apparel & Fashion,5699,Individual,Hyd,Telangana,TRUE,03-03-25 19:00,FALSE,,ACTIVE,1758.28
MCH1270,Tiwari And Sons,Retail & Groceries,5311,Private Limited,Hyderabad,Telangana,TRUE,02-06-23 14:56,FALSE,,ACTIVE,1107.02
MCH1272,Garg Inc,Travel & Transport,4131,Partnership / LLP,Jaipur,Rajasthan,TRUE,28-05-23 22:37,FALSE,7553237450,ACTIVE,549.87
MCH1275,Kata Group,Hotel & Lodging,7011,Partnership / LLP,Lucknow,Uttar Pradesh,TRUE,09-11-25 07:33,TRUE,XXXX0284,ACTIVE,252.53
MCH1277,Bhatnagar Borah,Food & Beverage,5812,Individual,Kolkata,West Bengal,FALSE,,FALSE,4086473586,ACTIVE,3540.87
MCH1280,Ben Madan And Dey,Books & Stationery,59420,Private Limited,Lucknow,Uttar Pradesh,TRUE,13-06-25 00:00,FALSE,,ACTIVE,1308.81
MCH1285,Hayer Plc,Medical & Health,5912,Individual,Blr,Karnataka,TRUE,24-09-23 07:15,FALSE,,ACTIVE,436.7
MCH1288,Jain Loke And Zacharia,Transprt,4131,Proprietorship,Blr,Karnataka,TRUE,17-07-23 08:08,TRUE,XXXX2041,ACTIVE,915.81
MCH1292,Gera Nayak,Hotel & Lodging,7011,Proprietorship,Chennai,Tamil Nadu,TRUE,25-09-23 00:00,FALSE,,ACTIVE,0.267
MCH1293,Kohli Rajan And Nair,Apparel & Fashion,5699,Proprietorship,Jaipur,Rajasthan,TRUE,09-04-23 06:47,TRUE,XXXX7079,ACTIVE,915.17
MCH1294,Rajagopalan Group,Medical & Health,5912,Individual,Amritsar,Punjab,TRUE,29-08-24 05:38,TRUE,XXXX1888,ACTIVE,539.82
MCH1296,Gaba Rama,Medical & Health,5912,Individual,New Delhi,Delhi,TRUE,16-01-23 00:00,FALSE,6728414996,ACTIVE,2547.8
MCH1297,Luthra And Sons,Retail & Groceries,54110,Private Limited,New Delhi,Delhi,TRUE,12-06-23 01:16,FALSE,5942366474,ACTIVE,381.86
MCH1298,Raghavan Reddyandsangha,Books & Stationery,5942,Proprietorship,Hyderabad,Telangana,TRUE,28-04-25 00:00,TRUE,XXXX0353,ACTIVE,364.92
MCH1299,Mutti Plc,Apparel & Fashion,5699,Partnership / LLP,Jaipur,Rajasthan,TRUE,27-06-23 00:00,FALSE,8421728078,ACTIVE,605.64
MCH1304,Sama Ltd,Medical & Health,5912,Individual,Bengaluru,Karnataka,TRUE,27-02-24 00:00,FALSE,9710613459,ACTIVE,4095.57
MCH1305,Ghose Batta,Travel & Transport,4131,Individual,Hyd,Telangana,TRUE,20-12-25 00:00,FALSE,,INACTIVE,380.06
MCH1308,Subramaniam Shankar,Medical & Health,5912,Partnership / LLP,Bengaluru,Karnataka,TRUE,28-12-24 00:00,FALSE,RSHZ2134290298030,ACTIVE,2112.78
MCH1309,Jhaveri Dasgupta And Kata,Apparel & Fashion,5699,Individual,Mumbai,Maharashtra,TRUE,20-09-23 00:00,TRUE,XXXX1715,ACTIVE,929.23
MCH1311,Dugal Munshi And Kunda,Electronics & Tech,4814,Individual,Jaipur,Rajasthan,TRUE,27-03-25 21:22,TRUE,XXXX7230,ACTIVE,1605.92
MCH1314,Pant Mammen And Doctor,Apparel & Fashion,5699,Individual,Jaipur,Rajasthan,TRUE,12-11-23 16:47,FALSE,,ACTIVE,1045.43
MCH1318,Gupta Llc,Electronics & Tech,4814,Private Limited,Jaipur,Rajasthan,FALSE,,FALSE,618978505,ACTIVE,1021.355
MCH1320,Babu Khatri,Apparel & Fashion,5699,Individual,Kolkata,West Bengal,TRUE,24-11-23 10:52,TRUE,XXXX8923,SUSPENDED,1036.37
MCH1321,Borah Dhaliwal,Medical & Health,7011,Proprietorship,Amritsar,Punjab,TRUE,06-12-25 00:00,TRUE,XXXX0908,ACTIVE,7973.89
MCH1323,Dhar And Sons,Books & Stationery,5942,Partnership / LLP,Amritsar,Punjab,FALSE,,FALSE,BGGB6995281283064,ACTIVE,3792.9
MCH1324,Edwin Savant And Tandon,Hotel & Lodging,7011,Partnership / LLP,Bangalore,Karnataka,TRUE,26-01-26 00:00,FALSE,,ACTIVE,1192.31
MCH1326,Chaudhry Agrawa1 And Sridhar,Books & Stationery,5942,Proprietorship,Bangalore,Karnataka,TRUE,20-05-24 00:00,FALSE,ZQNQ7613300121760,ACTIVE,177.58
MCH1327,Gandhiplc,Apparel & Fashion,5699,Proprietorship,Lucknow,Uttar Pradesh,TRUE,02-11-23 00:00,TRUE,XXXX1458,ACTIVE,902.09
MCH1328,Buch And Sons,Hotel & Lodging,7011,Proprietorship,Chennai,Tamil Nadu,TRUE,28-03-25 00:00,FALSE,JVTH6188797527471,ACTIVE,0.711
