user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,id_validation_status,is_dob_missing,is_signup_time_missing
USR10057,Zehaan Shetty,KQMXL5728R,249864742603,1998-05-30 00:00:00,Kolkata,West Bengal,26893.0,Freelancer,2026-03-10 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10059,Darsh Bhatti,VDRFY3513K,673866403974,,Jalandhar,Punjab,62771.0,Unemployed,2024-06-23 22:19:56,VERIFIED,Medium,VALID_12_DIGIT,True,False
USR10064,Yamini Kapadia,LLLDU5856D,887754838298,1982-10-16 06:49:45,Ludhiana,Punjab,26893.0,Gig Worker,,PENDING,Unknown,VALID_12_DIGIT,False,True
USR10066,Yashodasom,GMSVD2441K,673424420270,2006-07-26 23:33:00,Jaipur,Rajasthan,25819.0,Student,2025-05-15 00:00:00,PENDING,Low,VALID_12_DIGIT,False,False
USR10069,Fiyaz Pingle,RAHVJ4104Y,987338555178,1961-09-27 00:00:00,Mumbai,Maharashtra,49895.0,Business Owner,,VERIFIED,Medium,VALID_12_DIGIT,False,True
USR10070,Vedhika Chaudhry,YDFTR4800M,756077517652,1976-03-17 00:00:00,Lucknow,Uttar Pradesh,10797.0,Salaried,2025-06-26 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10078,Balvanchoudhary,ETFYC6320D,761378261162,,Bengaluru,Karnataka,26893.0,Unemployed,2025-10-15 00:00:00,VERIFIED,High,VALID_12_DIGIT,True,False
USR10085,Neel Deol,CCHNM7498D,109354020756,,Hyderabad,Telangana,26893.0,Retired,2025-04-23 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,True,False
USR10086,Idika Biswas,IHKMF2011Z,423614293017,1998-12-11 00:00:00,Bengaluru,Karnataka,29650.0,Retired,2024-08-08 15:24:44,REJECTED,Low,VALID_12_DIGIT,False,False
USR10088,Jyoti Soni,JNJEH7052X,716808973823,1986-05-01 00:00:00,Ludhiana,Punjab,26367.0,Student,,PENDING,Low,VALID_12_DIGIT,False,True
USR10090,Arya Nadig,FXVKY3589L,1136565448,,Lucknow,Uttar Pradesh,13798.0,Freelancer,,VERIFIED,Low,INVALID_LENGTH,True,True
USR10093,Widisha Ganesan,,473571830492,1967-01-08 00:00:00,Ludhiana,Punjab,26893.0,Student,2025-10-31 01:25:20,VERIFIED,High,VALID_12_DIGIT,False,False
USR10095,Dalbir Kala,MYAQM7278K,3467548505208,1996-11-30 00:00:00,Jalandhar,Punjab,33245.0,Gig Worker,2025-07-11 19:32:49,VERIFIED,Low,INVALID_LENGTH,False,False
USR10096,Michael Kapadia,JKIQW6925C,184907834944,1980-05-03 00:00:00,Hyderabad,Telangana,19706.0,Unemployed,2024-07-27 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10097,Faris Rattan,EJTQU5238W,311297422048,1961-09-26 00:00:00,Kolkata,West Bengal,71021.0,Unemployed,2025-10-02 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10098,Xiti Ben,QUPZM7586,620191162413,1961-10-12 00:00:00,Chennai,Tamil Nadu,9421.0,Gig Worker,2025-07-22 00:00:00,REJECTED,Low,VALID_12_DIGIT,False,False
USR10100,Gavin Mani,,947872427502,2002-12-29 00:00:00,Jalandhar,Punjab,79104.0,Student,2025-04-15 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10101,Vincent Borra,VFLAA3488C,686909110994,1966-08-21 00:00:00,Jalandhar,Punjab,34000.0,Unemployed,2024-07-24 00:00:00,VERIFIED,High,VALID_12_DIGIT,False,False
USR10106,Onveer Devi,BJQZX0061,970976962188,2004-10-20 01:18:08,Ludhiana,Punjab,27821.0,Unemployed,2024-01-19 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10107,Kalpit Narayan,PSZIU4769J,757616349442,1982-03-24 11:23:00,Hyderabad,Telangana,47795.0,Self Employed,2026-02-19 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10108,Chame1I Nadig,BOOZV5903,790823257838,,Chennai,Tamil Nadu,21734.0,Salaried,2025-03-11 14:51:55,VERIFIED,Medium,VALID_12_DIGIT,True,False
USR10114,Anya Gera,,MISSING_AADHAAR,1970-10-14 00:00:00,Delhi,Delhi,17607.0,Retired,2024-03-27 14:07:08,VERIFIED,Medium,MISSING,False,False
USR10115,Veda Wali,UBCJF9557Q,771321797377,1966-08-16 16:16:39,Chennai,Tamil Nadu,34289.0,Salaried,2025-09-27 22:29:40,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10123,Jyoti Mukhopadhyay,VFJGH8521W,163850488808,1984-08-31 09:07:44,Lucknow,Uttar Pradesh,14855.0,Retired,2026-01-15 16:51:32,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10126,Chandresh Bail,ERXIZ5289Y,481696420560,1968-05-10 13:34:00,Pune,Maharashtra,49735.0,Unemployed,2025-01-21 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10129,Gabriel Dugar,OWICS9646E,963852600278,1986-04-16 00:00:00,Lucknow,Uttar Pradesh,30244.0,Freelancer,2025-09-13 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10130,Osha Raj,HHAIS6963P,082450593233,1990-06-25 00:00:00,Pune,Maharashtra,52292.0,Business Owner,2024-07-25 00:00:00,PENDING,Low,VALID_12_DIGIT,False,False
USR10131,Kashish Dua,JBNMU8104T,225688125895,,Chennai,Tamil Nadu,39868.0,Business Owner,2026-02-14 00:00:00,VERIFIED,Unknown,VALID_12_DIGIT,True,False
USR10133,Finn Cheema,MXJMT0296U,469613984462,1982-11-17 07:24:00,Mumbai,Maharashtra,38349.0,Self Employed,2025-07-20 00:00:00,VERIFIED,High,VALID_12_DIGIT,False,False
USR10143,Vrishti Devi,QBJQU2549A,907263797341,1973-01-23 00:00:00,Mumbai,Maharashtra,20853.0,Farmer,2025-02-26 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10155,Vasatika Pall,VGPGC1828H,901764989131,1970-08-21 00:00:00,Mumbai,Maharashtra,26893.0,Salaried,2024-12-26 04:40:00,PENDING,High,VALID_12_DIGIT,False,False
USR10157,Jonathan Sood,SFLSS8791F,0170542962,1963-03-01 00:00:00,Pune,Maharashtra,26893.0,Business Owner,2024-04-10 00:00:00,VERIFIED,High,INVALID_LENGTH,False,False
USR10161,Ganga Date,WYXR01853U,064650703481,,Jaipur,Rajasthan,49452.0,Gig Worker,2024-11-09 00:00:00,VERIFIED,Low,VALID_12_DIGIT,True,False
USR10165,Manbir Manne,ACZUX1398N,155928454479,1993-01-06 00:00:00,Chennai,Tamil Nadu,26893.0,Self Employed,2025-07-22 00:00:00,PENDING,Low,VALID_12_DIGIT,False,False
USR10166,Maya Sane,ZXJPO3686X,117697892537,1978-01-19 00:00:00,Jaipur,Rajasthan,35800.0,Salaried,2024-04-22 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10168,Aarini Rajan,JPGRS7003U,915458342856,1967-09-17 02:24:00,Bengaluru,Karnataka,11300.0,Retired,2025-01-06 00:00:00,PENDING,Low,VALID_12_DIGIT,False,False
USR10171,Aditya Sibal,,611732550236,1987-10-23 00:00:00,Jaipur,Rajasthan,22421.0,Salaried,2024-08-12 02:26:04,VERIFIED,Unknown,VALID_12_DIGIT,False,False
USR10174,Dayamai Borra,GXEQU6279D,292374710522,1962-03-28 21:49:00,Chennai,Tamil Nadu,97324.0,Farmer,2025-05-24 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10176,Alka Bir,BCWDB7161,5526,1971-02-24 00:00:00,Chennai,Tamil Nadu,27058.0,Salaried,2025-02-05 00:00:00,REJECTED,Low,PARTIAL_4_DIGIT,False,False
USR10182,Gunbir S0Man,WLTCF3280,425164834247,2007-05-07 00:00:00,Pune,Maharashtra,31424.0,Freelancer,2026-01-16 21:12:56,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10185,Jasmit Rajagopalan,,695364276991,1989-04-24 11:03:06,Amritsar,Punjab,74324.0,Gig Worker,2024-07-01 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10188,Simon Parsa,GGAKL4874Q,682071929256,1997-01-26 13:19:00,Delhi,Delhi,29546.0,Farmer,,REJECTED,High,VALID_12_DIGIT,False,True
USR10192,Lucky Sani,EUSEA1656K,941955105791,1980-06-12 10:14:00,Mumbai,Maharashtra,32350.0,Farmer,2025-07-24 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10194,Balvan Narayanan,,918298910365,1992-08-29 00:00:00,Lucknow,Uttar Pradesh,8557.0,Salaried,2025-12-02 23:44:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10195,Unnati Shukla,WTDLO1743Z,962156013549,1988-04-16 07:20:27,Ludhiana,Punjab,11451.0,Student,2025-08-30 15:18:09,VERIFIED,High,VALID_12_DIGIT,False,False
USR10200,Ati Swaminathan,KJGSF3972C,710661068638,1974-03-16 00:00:00,Kolkata,West Bengal,41384.0,Unemployed,2025-01-09 11:23:45,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10202,Champak Bhatia,VXIXQ0284V,927128129717,1979-04-14 21:56:01,Kolkata,West Bengal,16825.0,Business Owner,2026-02-21 00:00:00,PENDING,Low,VALID_12_DIGIT,False,False
USR10203,Chanakya Mandal,DBZPN0182F,586327469035,1986-08-31 01:54:38,Pune,Maharashtra,49109.0,Self Employed,2025-12-31 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10204,Dhriti Rajagopal,QHAVT4269Z,322002437145,1968-03-03 00:00:00,Ludhiana,Punjab,16381.0,Self Employed,2025-12-25 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10205,Diya Tiwari,CIOAM6886B,563540030977,,Ludhiana,Punjab,11613.0,Student,2024-08-16 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,True,False
USR10207,Jack Taneja,RIEKD8431Z,4048617121,1981-04-15 00:00:00,Ludhiana,Punjab,26893.0,Salaried,2024-01-17 00:00:00,REJECTED,Low,INVALID_LENGTH,False,False
USR10209,Samarth Dey,SPRJX8660K,624188250336,2001-12-27 00:00:00,Bengaluru,Karnataka,14700.0,Retired,2024-09-01 00:00:00,VERIFIED,High,VALID_12_DIGIT,False,False
USR10210,Radha Narayanan,DOJTA0907Z,474868760225,1996-03-20 02:13:55,Jalandhar,Punjab,37410.0,Freelancer,2025-07-14 12:39:47,PENDING,Medium,VALID_12_DIGIT,False,False
USR10213,Fariq Bhavsar,ASTFC3720B,2434504430,1989-08-28 00:00:00,Jaipur,Rajasthan,29700.0,Student,2025-02-23 03:24:00,PENDING,High,INVALID_LENGTH,False,False
USR10214,Turvi Kapur,XAWZM1730C,911958753628,1989-06-07 01:32:19,Ludhiana,Punjab,25164.0,Farmer,2025-10-28 00:18:34,PENDING,Medium,VALID_12_DIGIT,False,False
USR10216,Unni Vig,TPHFM2913,985611909726,,Jaipur,Rajasthan,48670.0,Salaried,2024-03-18 00:00:00,VERIFIED,Low,VALID_12_DIGIT,True,False
USR10218,Lekha Keer,TAMQI2883E,012107959469,1965-07-06 00:00:00,Ludhiana,Punjab,28990.0,Salaried,2026-12-03 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10221,Nathan Narain,QRDDA6314T,481397017534,1988-11-22 06:38:14,Pune,Maharashtra,76407.0,Unemployed,2026-07-01 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10222,Tamanna Chand,BRILX4429G,641938173349,1988-03-16 00:00:00,Amritsar,Punjab,38181.0,Student,2025-12-04 05:18:46,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10223,Eesha Joshi,NKONK8611O,695864736450,,Hyderabad,Telangana,26893.0,Freelancer,2024-02-17 18:52:51,PENDING,Medium,VALID_12_DIGIT,True,False
USR10228,Finn Gade,GYXZP9703T,409958614308,1992-01-08 00:00:00,Lucknow,Uttar Pradesh,18999.0,Business Owner,2025-12-15 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10229,Darika Sarna,DXZKM0876A,350074312654,1989-04-30 00:00:00,Amritsar,Punjab,22969.0,Student,2024-12-16 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10232,Vasana Prashad,LQLJH4277R,2769556512,1970-01-26 00:00:00,Amritsar,Punjab,11400.0,Retired,2025-10-15 00:00:00,VERIFIED,High,INVALID_LENGTH,False,False
USR10233,Amol Das,DKWOM9606J,5835194920002,1998-06-05 00:00:00,Bengaluru,Karnataka,73590.0,Self Employed,,VERIFIED,High,INVALID_LENGTH,False,True
USR10239,Girish Koshy,NCDMU2666Q,715261228046,1966-06-02 00:00:00,Pune,Maharashtra,38138.0,Retired,2025-05-31 00:00:00,VERIFIED,High,VALID_12_DIGIT,False,False
USR10241,Arya Koshy,CAEML1033G,6314433270476,2001-12-12 00:00:00,Mumbai,Maharashtra,25630.0,Business Owner,2024-10-27 00:00:00,VERIFIED,Low,INVALID_LENGTH,False,False
USR10245,Aachal Gulati,SSCKX6976T,134651420643,1993-01-03 11:23:00,Amritsar,Punjab,28505.0,Student,2025-11-10 01:03:52,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10249,Pooja Mannan,TKQKC6386T,805674693783,1976-03-24 00:00:00,Chennai,Tamil Nadu,35209.0,Unemployed,2025-12-30 06:25:47,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10257,Tanish Issac,HQZWV0953B,216604206054,,Jalandhar,Punjab,15854.0,Self Employed,2025-10-03 12:06:05,VERIFIED,Unknown,VALID_12_DIGIT,True,False
USR10261,Raksha Khanna,SBSKN9088C,746142855175,1992-10-19 01:30:45,Lucknow,Uttar Pradesh,34259.0,Freelancer,2025-02-22 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10262,Baghyawati Ganesan,BCRWJ1533U,828476051658,1963-07-07 00:00:00,Lucknow,Uttar Pradesh,26893.0,Retired,2024-07-09 19:09:14,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10264,Bhavya Kar,ZTYKZ0357G,MISSING_AADHAAR,,Bengaluru,Karnataka,29708.0,Gig Worker,2025-06-03 00:00:00,PENDING,Medium,MISSING,True,False
USR10265,Ladli Borde,HTCMC8291O,3916707632,,Pune,Maharashtra,20579.0,Salaried,2025-10-06 00:00:00,VERIFIED,Low,INVALID_LENGTH,True,False
USR10267,Nidra Jain,QURIV1241Y,425476619672,1988-09-15 21:52:00,Delhi,Delhi,33870.0,Farmer,2025-10-15 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10272,Guneet Rao,,582508914738,1992-08-28 00:00:00,Kolkata,West Bengal,57300.0,Farmer,2024-05-29 00:00:00,PENDING,Low,VALID_12_DIGIT,False,False
USR10277,Aarini Sani,NTTHD3525C,075515152322,,Pune,Maharashtra,26893.0,Unemployed,2025-05-11 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,True,False
USR10278,Isha Patil,NQQFL8842P,5479,1970-09-30 00:00:00,Bengaluru,Karnataka,35033.0,Farmer,2025-04-17 00:00:00,VERIFIED,Low,PARTIAL_4_DIGIT,False,False
USR10285,Samaksh Buch,TNCFZ5575D,333517517178,1980-10-01 00:00:00,Lucknow,Uttar Pradesh,25800.0,Freelancer,2025-09-11 10:14:00,VERIFIED,Unknown,VALID_12_DIGIT,False,False
USR10288,Eesha Gola,JGQKP4206F,MISSING_AADHAAR,1996-10-29 00:00:00,Jalandhar,Punjab,26893.0,Unemployed,2026-02-28 00:00:00,VERIFIED,High,MISSING,False,False
USR10289,Gavin Chandra,PBIUE3421R,638287118660,1969-02-25 15:48:35,Bengaluru,Karnataka,23756.0,Student,2025-09-03 00:00:00,PENDING,Low,VALID_12_DIGIT,False,False
USR10290,Yoshita Muni,HXFKY8683Z,8388963113658,1970-03-07 00:00:00,Pune,Maharashtra,7517.0,Farmer,2025-03-28 00:00:00,VERIFIED,Low,INVALID_LENGTH,False,False
USR10293,Yauvani Mall,ZYZSL0066Z,686525319544,1985-10-25 12:45:46,Jaipur,Rajasthan,17900.0,Unemployed,2024-03-20 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10297,Henry Ram,GGVHM4173F,147360365353,2004-01-20 00:00:00,Pune,Maharashtra,25349.0,Freelancer,2025-03-03 12:15:41,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10298,Nikita Samra,XBNEX6709M,799564563972,1962-04-01 00:00:00,Mumbai,Maharashtra,28602.0,Retired,2025-08-12 00:00:00,REJECTED,Low,VALID_12_DIGIT,False,False
USR10300,Sathvik Ram,SCOOB9755A,874096721426,1973-02-24 07:32:41,Ludhiana,Punjab,35516.0,Farmer,2024-05-02 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10304,Chandani J0Ha1,AGBPP2761P,021795299367,1966-11-22 02:23:00,Jalandhar,Punjab,33744.0,Salaried,2025-09-18 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10306,Iravaidya,GUDPH2996,973202704441,1960-05-23 09:10:16,Delhi,Delhi,26893.0,Unemployed,,VERIFIED,Medium,VALID_12_DIGIT,False,True
USR10309,Aradhana Handa,,9055307569437,1971-10-28 00:00:00,Kolkata,West Bengal,13000.0,Student,2025-03-12 18:10:14,PENDING,Low,INVALID_LENGTH,False,False
USR10310,Sameshgoyal,KLAXF9996K,MISSING_AADHAAR,1991-06-29 00:00:00,Lucknow,Uttar Pradesh,32802.0,Unemployed,2026-03-25 00:00:00,VERIFIED,Medium,MISSING,False,False
USR10312,Urishilla Banik,AAZUG0261P,307608289996,2000-06-15 00:00:00,Ludhiana,Punjab,19368.0,Student,2025-10-06 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10317,Yatan Lalla,NKLPB6525C,437780083952,1989-10-13 00:00:00,Hyderabad,Telangana,32899.0,Self Employed,2024-06-12 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10318,Noah Sarkar,TKYNW5147D,526644635015,2002-04-09 00:00:00,Amritsar,Punjab,27205.0,Retired,2024-05-14 16:30:20,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10326,Brijesh Gour,EXIZI9668V,459905639328,1977-11-23 00:00:00,Hyderabad,Telangana,26893.0,Self Employed,2026-01-19 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10329,Ladli Hari,VWPMA2822M,2557398649702,,Hyderabad,Telangana,29811.0,Gig Worker,2025-02-19 11:52:06,VERIFIED,Low,INVALID_LENGTH,True,False
USR10331,Raksha Gour,CGXUY1589S,748663405703,2003-06-20 00:00:00,Mumbai,Maharashtra,26893.0,Salaried,2025-09-05 00:00:00,PENDING,Low,VALID_12_DIGIT,False,False
USR10335,Gaurangi Pandey,EHQQI3191R,517971225439,1960-09-07 00:00:00,Chennai,Tamil Nadu,28904.0,Unemployed,2025-07-03 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10340,Gauri Dubey,FPMZS0978S,790807259058,2003-12-30 00:00:00,Lucknow,Uttar Pradesh,26679.0,Retired,2025-12-03 14:10:54,VERIFIED,Unknown,VALID_12_DIGIT,False,False
USR10341,Daksha Khare,VKYGC2749O,413617291673,,Pune,Maharashtra,59899.0,Unemployed,,VERIFIED,Medium,VALID_12_DIGIT,True,True
USR10342,Onveer Barad,NUIRL0166F,901918685481,1994-04-07 00:00:00,Lucknow,Uttar Pradesh,34469.0,Unemployed,,VERIFIED,Unknown,VALID_12_DIGIT,False,True
USR10347,Amruta Bobal,EUUAT6031K,615858557064,,Chennai,Tamil Nadu,12979.0,Unemployed,2024-10-17 00:00:00,VERIFIED,High,VALID_12_DIGIT,True,False
USR10349,Kevin Korpal,ILQYB3209K,130417792461,1982-01-14 11:08:56,Mumbai,Maharashtra,45629.0,Farmer,,VERIFIED,Low,VALID_12_DIGIT,False,True
USR10351,Vaishnavi Brahmbhatt,,MISSING_AADHAAR,1971-12-21 00:00:00,Pune,Maharashtra,55887.0,Freelancer,2024-11-10 00:00:00,PENDING,Low,MISSING,False,False
USR10353,Saumya Balan,WCUEX2474T,MISSING_AADHAAR,1977-01-13 00:00:00,Bengaluru,Karnataka,26893.0,Student,2024-03-11 00:00:00,VERIFIED,Medium,MISSING,False,False
USR10356,Charles Chawla,FKAHM1015N,2329932418485,2005-01-22 20:51:48,Chennai,Tamil Nadu,31980.0,Unemployed,,VERIFIED,Medium,INVALID_LENGTH,False,True
USR10357,Jason Malhotra,XGGZJ2178R,6125,1990-09-25 00:00:00,Delhi,Delhi,30960.0,Freelancer,2025-10-27 00:00:00,VERIFIED,Low,PARTIAL_4_DIGIT,False,False
USR10359,Inaya Gandhi,YSLNO7107S,887440025159,1990-08-14 15:30:00,Bengaluru,Karnataka,26893.0,Student,2025-02-16 00:00:00,VERIFIED,Medium,VALID_12_DIGIT,False,False
USR10361,Andrew Bhardwaj,IEHEN3741V,222702856057,1990-04-07 00:00:00,Mumbai,Maharashtra,29294.0,Freelancer,2024-07-23 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10363,Sarthak Doctor,MPEKY3167S,180195026037,1994-12-27 00:00:00,Jaipur,Rajasthan,16604.0,Business Owner,2024-06-09 00:00:00,VERIFIED,Unknown,VALID_12_DIGIT,False,False
USR10369,Omya Zachariah,CFDSU8346V,268131692420,1961-03-26 00:00:00,Jalandhar,Punjab,26893.0,Retired,2024-08-03 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10374,Prisha Goel,YWBBI4612M,870441038479,1997-07-06 00:00:00,Bengaluru,Karnataka,86817.0,Gig Worker,2025-02-14 12:54:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10376,Chaaya Desai,DUBFE5572G,362009096477,1975-10-14 16:38:14,Chennai,Tamil Nadu,19619.0,Farmer,2024-11-15 08:34:57,PENDING,Low,VALID_12_DIGIT,False,False
USR10377,Ekaraj Goyal,GDHJK3510N,918508997352,,Delhi,Delhi,17386.0,Gig Worker,2024-01-03 12:41:55,VERIFIED,Medium,VALID_12_DIGIT,True,False
USR10379,Advay Butala,PERIK5483M,3307749115657,1995-11-04 00:00:00,Chennai,Tamil Nadu,12843.0,Retired,2024-09-19 18:55:57,VERIFIED,Medium,INVALID_LENGTH,False,False
USR10382,Madhavi Seshadri,RKHDP6153T,985125136471,1961-10-29 08:12:40,Ludhiana,Punjab,16913.0,Self Employed,2025-12-20 00:00:00,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10384,Divya Gole,CXGUE9215O,744210810185,2004-01-28 00:00:00,Bengaluru,Karnataka,34771.0,Farmer,2024-12-27 00:00:00,REJECTED,Low,VALID_12_DIGIT,False,False
USR10388,Inaya Bajwa,BKKPS2919I,0726,1982-08-01 00:00:00,Lucknow,Uttar Pradesh,95632.0,Student,2024-05-26 12:38:53,VERIFIED,Low,PARTIAL_4_DIGIT,False,False
USR10392,Bimala Pradhan,UYITL2094M,354302232364,1994-02-02 00:00:00,Amritsar,Punjab,46978.0,Business Owner,2026-03-17 21:59:55,VERIFIED,Low,VALID_12_DIGIT,False,False
USR10393,Aarnav Aurora,XMHNR2711D,545328645524,,Delhi,Delhi,56752.0,Student,2025-07-17 22:30:03,VERIFIED,High,VALID_12_DIGIT,True,False
USR10399,Yahvi Divan,OXQQF7312R,568360550822,1990-05-03 00:00:00,Jalandhar,Punjab,38600.0,Salaried,2026-03-15 01:12:00,VERIFIED,Low,VALID_12_DIGIT,False,False
